Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
TR060,Biological and Biomedical Sciences,543,543,566,8
TR061,Chemical Sciences,517,510,532,8
TR062,Geography and Geoscience,473,473,499,8
TR063,Physical Sciences,498,477,531,8
TR072,Pharmacy,590,590,613,8
TR080,Global Business,589,589,601,8
TR081,"Business, Economic and Social Studies (BESS)",543,543,565,8
TR082,Computer Science and Business,555,555,578,8
TR083,Sociology and Social Policy,498,478,513,8
TR084,Social Studies (Social Work),462,462,495,8
TR085,Business Studies and French,540,521,543,8
TR086,Business Studies and German,509,499,518,8
TR087,Business Studies and Russian,474,456,488,8
TR089,Business Studies and Polish,444,424,468,8
TR090,Business Studies and Spanish,531,531,542,8
TR091,General Nursing (Meath and St James`s),429,429,455,8
TR093,General Nursing (Adelaide School of Nursing),430,414,441,8
TR095,Mental Health Nursing,408,408,430,8
TR097,Intellectual Disability Nursing,396,378,398,8
TR111,Ancient History and Archaeology/Geography,352,352,429,8
TR112,Ancient History and Archaeology/History,529,529,,8
TR113,Ancient History and Archaeology/History of Art and Architecture,337,337,477,8
TR114,Ancient History and Archaeology/Modern Language,337,337,420,8
TR117,Ancient History and Archaeology/Religion,342,342,368,8
TR166,Classical Civilisation/English Literature,498,496,523,8
TR173,Classical Civilisation/History of Art and Architecture,335,335,466,8
TR177,Classical Civilisation/Modern Language,335,335,536,8
TR179,Classical Civilisation/Philosophy,499,479,518,8
TR198,Economics/Geography,534,534,552,8
TR202,Economics/History,534,534,566,8
TR207,Economics/Mathematics,566,566,601,8
TR208,Economics/Modern Language,534,534,578,8
TR209,Economics/Philosophy,534,534,576,8
TR212,Economics/Sociology,534,534,541,8
TR228,Classical Languages/English Literature,498,498,533,8
TR231,Classical Languages/History of Art and Architecture,349,349,444,8
TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,349,566,8
TR239,Classical Languages/Modern Language,349,349,349,8
TR262,English Literature/History,529,529,552,8
TR263,English Literature/History of Art and Architecture,498,497,533,8
TR269,English Literature/Philosophy,499,495,532,8
TR272,English Literature/Sociology,498,498,519,8
TR276,English Literature/Drama Studies,#498,#476,530,8
TR277,English Literature/Modern Language,498,489,543,8
TR311,Film/Drama Studies,#521,#521,557,8
TR312,Film/English Literature,521,521,541,8
TR320,Film/Music,521,521,555,8
TR322,Geography/History,529,529,555,8
TR323,Drama Studies/Modern Language,#473,#473,551,8
TR324,Film/Modern Language,521,521,544,8
TR325,Film/History,529,529,625,8
TR326,Geography/Modern Language,352,352,440,8
TR332,Geography/Sociology,498,496,520,8
TR443,History/History of Art and Architecture,529,529,532,8
TR447,History/Modern Language,529,529,554,8
TR449,History/Philosophy,529,529,543,8
TR452,History/Sociology,529,529,534,8
TR454,History/Religion,529,529,534,8
TR455,History of Art and Architecture/Modern Language,334,334,454,8
TR479,History of Art and Architecture/Philosophy,499,485,555,8
TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,337,473,8
TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,335,543,8
TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,529,555,8
TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,335,451,8
TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,8
TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,342,,8
TR597,Mathematics/Modern Language,566,566,625,8
TR598,Mathematics/Music,566,566,,8
TR599,Mathematics/Philosophy,566,566,589,8
TR629,Music/Philosophy,499,499,,8
TR635,Music/Drama Studies,#473,#473,487,8
TR636,Music/Modern Language,388,388,455,8
TR638,Music/Religion,388,388,440,8
TR639,Philosophy/Modern Language,499,499,613,8
TR662,Philosophy/Sociology,499,499,531,8
TR663,Religion/Classical Civilisation,342,342,591,8
TR664,Religion/English Literature,498,498,565,8
TR665,Religion/History of Art and Architecture,342,342,452,8
TR666,Religion/Modern Language,,,,8
TR667,French/Modern Language,403,403,478,8
TR668,German/Modern Language,389,389,465,8
TR669,Irish/Modern Language,368,368,473,8
TR670,Italian/Modern Language,381,381,466,8
TR671,Russian/Modern Language,332,332,494,8
TR672,Spanish/Modern Language,336,336,488,8
TR755,Sociology/Drama Studies,#498,#498,543,8
TR756,Sociology/Modern Language,498,495,510,8
TR911,Children`s and General Nursing (Integrated),511,499,521,8
TR913,Midwifery,478,473,508,8
TU801,Biomedical Design,235,235,381,8
TU802,Electrical Services and Energy Management,317,300,352,8
TU803,Electronic Engineering,243,243,337,8
TU804,Engineering (Common Entry with Award options),271,271,338,8
TU805,Engineering (General Entry),402,402,466,8
TU806,Sustainable Energy Engineering,262,262,318,8
TU807,Computer Engineering in Mobile Systems,276,276,305,8
TU808,Engineering Software,260,260,339,8
TU809,Mechanical Engineering,235,235,347,8
TU810,Mechatronic Engineering,270,271,312,8
TU811,Product Design,411,411,444,8
TU812,"Design,Technology and Innovation",270,270,350,8
TU813,Automation Engineering,218,218,339,8
TU814,Transport Operations and Technology,285,251,372,8
TU831,Architectural Technology,410,410,444,8
TU832,Architecture (Suitability Test and Interview),622,622,658,8
TU833,Construction Management,367,367,404,8
TU834,Geographic Science,288,288,357,8
TU835,Planning and Environmental Management,313,313,349,8
TU836,Property Economics (Valuation Surveying),401,401,433,8
TU837,Quantity Surveying and Construction Economics,385,385,418,8
TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,349,419,8
TU852,Chemical Sciences with Medicinal Chemistry,476,476,498,8
TU854,Science (General Entry),476,476,495,8
TU855,Science with Nanotechnology,331,319,368,8
TU856,Computer Science,476,476,487,8
TU857,Computer Science (Infrastructure),391,391,419,8
TU858,Computer Science (International),377,377,424,8
TU859,Computing,217,217,308,8
TU860,Computing (Information Technology),260,260,329,8
TU861,Computing with Language (French/German/Spanish),308,308,348,8
TU862,Computing with Data Analytics,226,226,288,8
TU863,Digital Forensics and Cyber Security,280,280,338,8
TU864,DNA and Forensic Analysis,400,390,429,8
TU865,Computing with IT Management,226,226,331,8
TU866,Biomedical and Molecular Diagnostics,487,487,498,8
TU867,Biomedical Science,524,524,542,8
TU868,Clinical Measurement Science,510,510,520,8
TU869,Environmental Health,336,336,375,8
TU870,Human Nutrition and Dietetics,578,578,589,8
TU871,Optometry,509,509,530,8
TU872,Public Health Nutrition,491,491,512,8
TU873,Industrial Mathematics,250,250,392,8
TU874,Mathematical Sciences,341,343,407,8
TU875,Pharmaceutical Healthcare,400,400,440,8
TU876,Pharmaceutical Science,377,349,391,8
TU877,Physics Technology,308,308,373,8
TU878,Physics with Energy and Environment,337,331,444,8
TU879,Physics with Medical Physics and Bioengineering,351,351,403,8
TU880,Physics with Data Science,578,,,8
TU881,Food Innovation,318,318,389,8
TU882,Nutraceuticals in Health and Nutrition,397,397,442,8
TU901,Business,270,270,307,8
TU902,Business (Common Entry with Award options),271,271,359,8
TU903,Business and Management,463,463,485,8
TU904,Business and Law,462,462,487,8
TU905,Economics and Finance,465,465,488,8
TU906,Human Resource Management,395,395,414,8
TU907,Logistics and Supply Chain Management,300,300,387,8
TU908,Management,262,253,337,8
TU909,Accounting and Finance,285,285,326,8
TU910,Accounting and Finance,444,444,466,8
TU911,Accounting and Finance,209,192,319,8
TU912,Business Analytics,330,330,366,8
TU913,Business and Information Technology,252,252,299,8
TU914,Business Computing,324,324,366,8
TU915,International Business,252,252,302,8
TU916,International Business,235,235,337,8
TU917,Law (LLB ) with a Language,342,342,433,8
TU918,Law (LLB),451,451,478,8
TU919,Advertising and Marketing Communications,228,226,311,8
TU920,Digital Marketing,270,270,318,8
TU921,Digital Marketing Technologies,212,234,300,8
TU922,Marketing,418,418,443,8
TU923,Marketing Management,228,228,318,8
TU924,E-Commerce in Retailing,307,307,380,8
TU925,Retail and Services Management,301,301,362,8
TU935,Sports Management and Coaching,300,300,347,8
TU936,Sports Science and Health,410,391,419,8
TU941,Botanical Cuisine,249,249,257,8
TU942,Culinary Arts,212,212,340,8
TU943,Culinary Entrepreneurship,278,279,357,8
TU944,Culinary Science,316,316,379,8
TU951,International Hospitality and Tourism Management,184,200,298,8
TU952,International Hospitality Management,300,306,368,8
TU953,Tourism and Digital Marketing,290,290,359,8
TU954,Event Management,356,356,404,8
TU955,Sports & Leisure Management,217,217,347,8
TU961,Commercial Modern Music,608,608,848,8
TU962,Drama (Performance),379,379,500,8
TU963,Music,416,416,535,8
TU965,International Business and Languages,356,346,413,8
TU966,Languages and English Studies,366,434,466,8
TU967,Languages and International Tourism,308,326,388,8
TU971,Contemporary Visual Culture,290,290,320,8
TU972,Creative and Cultural Industries,281,281,369,8
TU973,Design - Visual Communication,717,717,865,8
TU974,Fine Art,709,563,826,8
TU975,Interior Design,632,632,879,8
TU976,Photography,695,695,926,8
TU981,Creative Digital Media,280,282,318,8
TU982,Creative Digital Media,320,311,352,8
TU983,Film and Broadcasting,456,451,484,8
TU984,Game Design,381,381,419,8
TU985,Journalism,322,322,377,8
TU986,Print Media Technology and Management,289,289,300,8
TU991,Applied Social Studies in Social Care,325,325,352,8
TU992,Community and Youth Development,251,253,297,8
TU993,Early Childhood Care and Education,270,270,311,8
TU994,Early Childhood Care and Education,321,230,304,8
TU995,Early Childhood Education,367,367,409,8
TU996,Social Care,400,400,419,8
TU997,Applied Social Care,310,270,318,8
WD001,Applied Computing (options),260,260,413,8
WD002,Science (options),308,308,388,8
WD005,Health Sciences (options),280,280,338,8
WD006,Exercise Sciences (options),280,280,359,8
WD007,Engineering (options),288,288,409,8
WD025,Construction Management and Engineering,269,269,341,8
WD027,Music,262,262,409,8
WD048,Business (options),271,271,371,8
WD084,Accounting,308,308,411,8
WD091,Hospitality Management,228,228,310,8
WD116,General Nursing,422,422,451,8
WD117,Psychiatric Nursing,366,366,388,8
WD120,Intellectual Disability Nursing,377,377,388,8
WD134,International Business,290,290,362,8
WD137,Design (Visual Communications),271,271,351,8
WD140,Laws,280,280,367,8
WD144,Architecture,284,284,359,8
WD147,Pharmaceutical Science,293,293,390,8
WD149,Early Childhood Studies,271,271,368,8
WD150,Criminal Justice Studies,270,270,331,8
WD152,Visual Art,AQA,AQA,317,8
WD161,Computer Forensics and Security,255,255,380,8
WD162,Quantity Surveying,216,216,306,8
WD163,Psychology,434,434,473,8
WD186,Sports Coaching and Performance,270,270,344,8
WD187,Social Science,272,272,348,8
WD191,Agricultural Science,377,377,420,8
WD192,Social Care Practice,270,270,326,8
WD193,Marketing and Digital Media,271,271,347,8
WD194,Culinary Arts,217,217,321,8
WD195,Architectural and Building Information Modelling Technology,279,279,367,8
WD200,Arts (options),AQA,AQA,336,8
WD210,Software Systems Development,279,279,337,8
WD211,Creative Computing,271,271,318,8
WD212,Recreation and Sport Management,270,270,349,8
WD230,Mechanical and Manufacturing Engineering,253,253,369,8
