,Course Code,Course,EOS_2019_6_7
0,AL600,Software Design,205.0
1,AL601,Computer Engineering,196.0
2,AL602,Mechanical Engineering,258.0
3,AL604,Civil Engineering,252.0
4,AL630,Pharmacy Technician,306.0
5,AL631,Dental Nursing,326.0
6,AL632,Applied Science,243.0
7,AL650,Business,210.0
8,AL651,Music and Instrument Technology,
9,AL660,Culinary Arts,
10,AL661,Bar Supervision,
11,AL663,Business (Sport and Recreation),
12,AL701,ICT Engineering: Computer Eng/Network Mgmnt/Electronic Comms,235.0
13,AL704,Computer Engineering,205.0
14,AL705,Software Design with Mobile Apps and Connected Devices,206.0
15,AL710,Mechanical Engineering,242.0
16,AL711,Mechanical Engineering and Renewable Energy,231.0
17,AL712,Mechatronics,269.0
18,AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),245.0
19,AL721,Civil Engineering,217.0
20,AL730,Biotechnology,232.0
21,AL731,Veterinary Nursing,393.0
22,AL734,Pharmaceutical Sciences (Drug Development and Analysis),225.0
23,AL740,Exercise and Health Science,241.0
24,AL751,Digital Marketing,226.0
25,AL752,Business,232.0
26,AL761,Hotel and Leisure Management,200.0
27,AL763,Graphic Design (portfolio),626.0
28,AL764,Early Years Care and Education,270.0
29,AL765,Applied Social Studies in Social Care,281.0
30,CW006,Business (Wexford),153.0
31,CW017,Applied Social Studies - Professional Social Care (Wexford),224.0
32,CW027,Sustainable Farm Management and Agribusiness (Wexford),226.0
33,CW037,Business (options Wexford),349.0
34,CW047,Visual Communications and Design (Wexford),198.0
35,CW057,Art (portfolio Wexford),700.0
36,CW077,Tourism and Event Management (Wexford),204.0
37,CW106,Physiology and Health Science,454.0
38,CW107,Analytical Science,215.0
39,CW116,Pharmacy Technician Studies,241.0
40,CW117,Biosciences,205.0
41,CW126,Science - Applied Biology or Applied Chemistry,198.0
42,CW206,Computing - Applications or Programming,206.0
43,CW207,Software Development,235.0
44,CW217,Information Technology Management,234.0
45,CW227,Cybercrime and IT Security,233.0
46,CW237,Computing in Interactive Digital Art and Design,216.0
47,CW407,Architectural Technology,186.0
48,CW417,Construction Management with Building Services,215.0
49,CW427,Civil Engineering,201.0
50,CW507,Aircraft Systems,285.0
51,CW517,Mechanical Engineering,252.0
52,CW527,Electronic Engineering,225.0
53,CW547,TV and Media Production,306.0
54,CW706,Legal Studies,196.0
55,CW707,Industrial Design,199.0
56,CW717,Applied Social Studies - Professional Social Care,260.0
57,CW807,Sport Coaching and Business Management - GAA (portfolio),700.0
58,CW817,Sport Coaching and Business Management - Rugby (portfolio),700.0
59,CW827,Sport Coaching and Business Management - Soccer (portfolio),700.0
60,CW837,Digital Marketing with Analytics,240.0
61,CW906,Business,173.0
62,CW917,Business (options),200.0
63,CW926,Business with Law,204.0
64,CW927,Business Administration,205.0
65,CW936,Accounting,204.0
66,PC402,Arts and Humanities,126.0
67,PC404,Applied Social Studies - Professional Social Care,
68,CR001,Applied Physics and Instrumentation,258.0
69,CR006,Applied Biosciences,380.0
70,CR007,Analytical and Pharmaceutical Chemistry,246.0
71,CR010,Agriculture (Year 1 - 4 days in Clonakilty Agri College & 1 day in CIT),270.0
72,CR016,Software Development,270.0
73,CR021,Business (Common Entry),250.0
74,CR022,Business Administration,206.0
75,CR031,Social Care,326.0
76,CR032,Recreation and Leisure Management,250.0
77,CR035,Community Development,162.0
78,CR041,Tourism Management,180.0
79,CR042,Hospitality Management,101.0
80,CR046,Automotive Technology and Management,214.0
81,CR051,Civil Engineering,244.0
82,CR052,Construction,232.0
83,CR053,Interior Architecture,253.0
84,CR055,Environmental Engineering,255.0
85,CR061,Electronic Engineering,308.0
86,CR062,Electrical Engineering,279.0
87,CR071,Mechanical Engineering,250.0
88,CR075,Biomedical Engineering,350.0
89,CR090,Architectural Technology,251.0
90,CR094,Nautical Science at National Maritime College of Ireland,237.0
91,CR095,Marine Engineering at National Maritime College of Ireland,224.0
92,CR300,Physical Sciences (Common Entry),270.0
93,CR620,Early Childhood Education and Care,337.0
94,CR640,Culinary Arts,125.0
95,CR650,Beverage Industry Management,182.0
96,CR655,Culinary Studies,116.0
97,CR657,Hospitality Studies,162.0
98,CR805,Marine Electrotechnology at National Maritime College of Ireland,217.0
99,CR888,Information Technology,271.0
100,CT110,Computing in Information Technology,171.0
101,CT116,Information Technology,178.0
102,CT316,Business,180.0
103,DS602,Computing and Multimedia,225.0
104,DS603,Computing and Multimedia,341.0
105,DS701,Business,
106,DS702,Computing and Multimedia,102.0
107,DB513,Business,117.0
108,DB522,Business in Accounting,112.0
109,DB528,Applied Social Care,
110,DB533,Business in Marketing,112.0
111,DB534,Sound Engineering and Music Production,179.0
112,DB563,Arts,128.0
113,DB571,Business Studies,134.0
114,DB572,Business in Accounting,
115,DB573,Business in Marketing,127.0
116,DB574,Business in Information Technology,
117,DB575,Social Studies,120.0
118,DB576,Film and Media,100.0
119,DB580,Legal Studies,108.0
120,DB581,Legal and Business Studies,156.0
121,DB582,Legal Studies,108.0
122,DB583,Legal and Business Studies,190.0
123,DT002,Engineering Reliability Management,234.0
124,DT003,Automation Engineering,270.0
125,DT004,Civil Engineering,243.0
126,DT005,Building Engineering,260.0
127,DT006,Mechanical Engineering,301.0
128,DT007,Automotive Management and Technology,240.0
129,DT008,Electronics and Communications Engineering,241.0
130,DT009,Electrical and Control Engineering,241.0
131,DT010,Electrical Services Engineering,243.0
132,DT011,Aviation Technology,346.0
133,DT080,Networking Technologies,241.0
134,DT097,Engineering (General Entry),370.0
135,DT104,Auctioneering Valuation and Estate Agency,290.0
136,DT169,Timber Product Technology,244.0
137,DT212,Science (General Entry),380.0
138,DT219,Ophthalmic Dispensing,302.0
139,DT259,Biosciences,400.0
140,DT260,Industrial and Environmental Physics,260.0
141,DT261,Medicinal Chemistry and Pharmaceutical Sciences,388.0
142,DT303,Marketing,320.0
143,DT315,Business Studies,320.0
144,DT324,Business Management,325.0
145,DT360,Retail Management and Marketing,290.0
146,DT404,Food Management and Entrepreneurship,268.0
147,DT406,Tourism Management,260.0
148,DT408,Hospitality Management,250.0
149,DT411,Leisure Management,250.0
150,DT418,Baking and Pastry Arts Management,240.0
151,DT424,Food Science and Management,270.0
152,DT425,Pharmacy Technician Studies,336.0
153,DT426,Bar and Restaurant Management,241.0
154,DT432,Culinary Arts (Professional Cookery Practice),242.0
155,DT598,Visual Merchandising and Display,463.0
156,DL701,Business - Applied Entrepreneurship,154.0
157,GC265,Journalism (Cork),
158,GC306,International Hospitality Management (Limerick),
159,GC335,Computing (Limerick),213.0
160,GC406,International Hospitality Management (Dublin),189.0
161,GC410,Marketing (Dublin),204.0
162,GC411,Business (Dublin),
163,GC416,Business (Dublin),142.0
164,GC425,Legal Studies (Dublin),
165,GC435,Computing (Dublin),101.0
166,GC460,Music Production for Games (Dublin),
167,GC465,Journalism (Dublin),144.0
168,GC466,Film and TV Production (Dublin),100.0
