Course Code,Course,EOS_2018_7_6,Mid
AL601,Electronics and Computer Engineering,240,321
AL602,Mechanical Engineering,201,299
AL604,Civil Engineering,243,320
AL630,Pharmacy Technician,306,388
AL631,Dental Nursing,307,348
AL632,Science (Bioscience/Chemistry),216,444
AL650,Business,200,357
AL651,Music and Instrument Technology,,308
AL652,Business in Equine,,281
AL660,Culinary Arts,,208
AL661,Bar Supervision,150,213
AL663,Business (Sport and Recreation),181,265
AL701,ICT Engineering: Computer Eng or Network Mgmnt or Electronic Comms,210,366
AL704,Computer Engineering,205,319
AL705,Software Development (Mobile Apps and Connected Devices),207,308
AL710,Mechanical Engineering,218,308
AL711,Mechanical Engineering and Renewable Energy,252,358
AL712,Mechatronics,283,386
AL713,Engineering (Common Entry to Mechanical/Renewable/Mechatronic Eng),223,388
AL721,Civil Engineering,245,328
AL730,Biotechnology,206,357
AL731,Veterinary Nursing,398,442
AL733,Forensic Toxicology,215,354
AL734,Pharmaceutical Sciences (Drug Development and Analysis),214,336
AL751,Digital Marketing,222,321
AL761,Hotel and Leisure Management,208,317
AL763,Graphic Design (Portfolio Required),783,842
AL764,Early Years Care and Education,270,370
AL765,Applied Social Studies in Social Care,278,347
CW006,Business (Wexford),129,298
CW017,Applied Social Studies - Professional Social Care (Wexford),162,242
CW027,Sustainable Farm Management and Agribusiness (Wexford),222,328
CW037,Business (with options - Wexford),195,311
CW046,Computing (Wexford),,
CW047,Visual Communications and Design (Wexford),198,339
CW057,Art (Portfolio - Wexford),700,700
CW106,Physiology and Health Science,454,495
CW107,Analytical Science,213,348
CW116,Pharmacy Technician Studies,287,380
CW117,Biosciences,214,336
CW126,Science - Applied Biology or Applied Chemistry,198,379
CW206,Computing - Applications or Programming,200,251
CW207,Software Development,251,337
CW217,Information Technology Management,234,347
CW227,Cybercrime and IT Security,251,309
CW407,Architectural Technology,186,309
CW417,Construction Management with Building Services,226,289
CW427,Civil Engineering,200,331
CW507,Aircraft Systems,281,349
CW517,Mechanical Engineering,264,350
CW527,Electronic Engineering,217,298
CW547,TV and Media Production,326,379
CW706,Legal Studies,202,339
CW707,Industrial Design,207,364
CW717,Applied Social Studies - Professional Social Care,240,316
CW807,Sports Coaching and Business Management - GAA (Portfolio),700,700
CW817,Sports Coaching and Business Management - Rugby (Portfolio),700,700
CW827,Sports Coaching and Business Management - Soccer (Portfolio),700,700
CW906,Business,171,206
CW917,Business (with options),208,332
CW926,Business with Law,208,339
CW927,Business Administration,242,317
CW936,Accounting,207,367
PC402,Humanities,,318
PC404,Applied Social Studies in Social Care,,227
CR001,Applied Physics and Instrumentation,297,413
CR006,Applied Biosciences (Degree award options),360,462
CR007,Analytical and Pharmaceutical Chemistry,292,488
CR010,Agriculture (Year 1 - 2 days in Clonakilty Agri College & 3 days in CIT),289,389
CR016,Software Development,270,362
CR021,Business (Common Entry - Degree award options),240,402
CR022,Business Administration,192,299
CR031,Social Care,326,392
CR032,Recreation and Leisure Management,260,349
CR035,Community Development,117,215
CR041,Tourism Management,185,311
CR042,Hospitality Management,182,284
CR046,Automotive Technology and Management,200,260
CR051,Civil Engineering,226,410
CR052,Construction (Degree award options),225,309
CR053,Interior Architecture,252,378
CR055,Environmental Engineering,226,389
CR061,Electronic Engineering,251,421
CR062,Electrical Engineering,250,343
CR071,Mechanical Engineering,270,424
CR075,Biomedical Engineering,312,476
CR090,Architectural Technology,244,404
CR094,Nautical Science at National Maritime College of Ireland,257,387
CR095,Marine Engineering at National Maritime College of Ireland,241,339
CR300,Physical Sciences (Common Entry),300,498
CR620,Early Years Education,341,418
CR640,Culinary Arts,197,318
CR650,Beverage Industry Management,120,262
CR655,Culinary Studies,139,272
CR657,Hospitality Studies,154,208
CR805,Marine Electrotechnology at National Maritime College of Ireland,244,340
CR888,Information Technology,280,372
CT110,Computing in Information Technology,130,424
CT116,Information Technology,170,276
DS602,Computing and Multimedia,,92
DS603,Computing and Multimedia,206,288
DS701,Business,120,298
DS702,Computing and Multimedia,200,282
DB513,Business,190,401
DB522,Business in Accounting,197,455
DB528,Applied Social Care,129,278
DB533,Business in Marketing,187,287
DB534,Sound Engineering and Music Production,164,351
DB563,Arts,136,327
