,Course Code,Course,R1 Points_2020,EOS_2020,Mid_2020,Level
1074,TL890,General Nursing and Mature Applicants,440,414,441,8
1075,TL891,Mental Health Nursing and Mature Applicants,389,378,399,8
1076,TR002,Music,435,382,468,8
1077,TR003,History,497,456,511,8
1078,TR004,Law,566,565,578,8
1079,TR005,Philosophy,442,442,476,8
1080,TR006,Psychology,567,555,578,8
1081,TR007,Clinical Speech and Language Studies,529,529,553,8
1082,TR009,Music Education,420,420,532,8
1083,TR012,History and Political Science,555,552,578,8
1084,TR015,"Philosophy, Political Science, Economics and Sociology",589,589,601,8
1085,TR016,Deaf Studies,340,329,377,8
1086,TR017,Law and Business,602,602,613,8
1087,TR018,Law and French,565,565,589,8
1088,TR019,Law and German,543,542,566,8
1089,TR020,Law and Political Science,602,601,613,8
1090,TR021,"Classics, Ancient History and Archaeology",370,370,434,8
1091,TR022,Early and Modern Irish,398,398,451,8
1092,TR023,English Studies,487,474,511,8
1093,TR024,European Studies,544,530,566,8
1094,TR025,Drama and Theatre Studies,564,530,581,8
1095,TR028,Ancient and Medieval History and Culture,342,342,453,8
1096,TR029,Political Science and Geography,526,510,533,8
1097,TR031,Mathematics,531,531,589,8
1098,TR032,Engineering,510,508,533,8
1099,TR033,Computer Science,509,509,545,8
1100,TR034,Management Science and Information Systems Studies,613,613,625,8
1101,TR035,Theoretical Physics,543,543,601,8
1102,TR038,Engineering with Management,532,532,556,8
1103,TR039,Computer Science and Language,454,424,488,8
1104,TR040,Middle Eastern and European Languages and Cultures,466,466,521,8
1105,TR041,Religion,368,368,418,8
1106,TR042,Film,489,466,498,8
1107,TR043,History of Art and Architecture,393,354,474,8
1108,TR051,Medicine (HPAT required),735,734,745,8
1109,TR052,Dental Science,613,613,625,8
1110,TR053,Physiotherapy,566,566,567,8
1111,TR054,Occupational Therapy,533,533,554,8
1112,TR055,Radiation Therapy,543,543,554,8
1113,TR056,Human Health and Disease,565,564,578,8
1114,TR060,Biological and Biomedical Sciences,543,543,566,8
1115,TR061,Chemical Sciences,517,510,532,8
1116,TR062,Geography and Geoscience,473,473,499,8
1117,TR063,Physical Sciences,498,477,531,8
1118,TR072,Pharmacy,590,590,613,8
1119,TR080,Global Business,589,589,601,8
1120,TR081,"Business, Economic and Social Studies (BESS)",543,543,565,8
1121,TR082,Computer Science and Business,555,555,578,8
1122,TR083,Sociology and Social Policy,498,478,513,8
1123,TR084,Social Studies (Social Work),462,462,495,8
1124,TR085,Business Studies and French,540,521,543,8
1125,TR086,Business Studies and German,509,499,518,8
1126,TR087,Business Studies and Russian,474,456,488,8
1127,TR089,Business Studies and Polish,444,424,468,8
1128,TR090,Business Studies and Spanish,531,531,542,8
1129,TR091,General Nursing (Meath and St James`s),429,429,455,8
1130,TR093,General Nursing (Adelaide School of Nursing),430,414,441,8
1131,TR095,Mental Health Nursing,408,408,430,8
1132,TR097,Intellectual Disability Nursing,396,378,398,8
1133,TR111,Ancient History and Archaeology/Geography,352,352,429,8
1134,TR112,Ancient History and Archaeology/History,529,529,,8
1135,TR113,Ancient History and Archaeology/History of Art and Architecture,337,337,477,8
1136,TR114,Ancient History and Archaeology/Modern Language,337,337,420,8
1137,TR117,Ancient History and Archaeology/Religion,342,342,368,8
1138,TR166,Classical Civilisation/English Literature,498,496,523,8
1139,TR173,Classical Civilisation/History of Art and Architecture,335,335,466,8
1140,TR177,Classical Civilisation/Modern Language,335,335,536,8
1141,TR179,Classical Civilisation/Philosophy,499,479,518,8
1142,TR198,Economics/Geography,534,534,552,8
1143,TR202,Economics/History,534,534,566,8
1144,TR207,Economics/Mathematics,566,566,601,8
1145,TR208,Economics/Modern Language,534,534,578,8
1146,TR209,Economics/Philosophy,534,534,576,8
1147,TR212,Economics/Sociology,534,534,541,8
1148,TR228,Classical Languages/English Literature,498,498,533,8
1149,TR231,Classical Languages/History of Art and Architecture,349,349,444,8
1150,TR233,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",349,349,566,8
1151,TR239,Classical Languages/Modern Language,349,349,349,8
1152,TR262,English Literature/History,529,529,552,8
1153,TR263,English Literature/History of Art and Architecture,498,497,533,8
1154,TR269,English Literature/Philosophy,499,495,532,8
1155,TR272,English Literature/Sociology,498,498,519,8
1156,TR276,English Literature/Drama Studies,#498,#476,530,8
1157,TR277,English Literature/Modern Language,498,489,543,8
1158,TR311,Film/Drama Studies,#521,#521,557,8
1159,TR312,Film/English Literature,521,521,541,8
1160,TR320,Film/Music,521,521,555,8
1161,TR322,Geography/History,529,529,555,8
1162,TR323,Drama Studies/Modern Language,#473,#473,551,8
1163,TR324,Film/Modern Language,521,521,544,8
1164,TR325,Film/History,529,529,625,8
1165,TR326,Geography/Modern Language,352,352,440,8
1166,TR332,Geography/Sociology,498,496,520,8
1167,TR443,History/History of Art and Architecture,529,529,532,8
1168,TR447,History/Modern Language,529,529,554,8
1169,TR449,History/Philosophy,529,529,543,8
1170,TR452,History/Sociology,529,529,534,8
1171,TR454,History/Religion,529,529,534,8
1172,TR455,History of Art and Architecture/Modern Language,334,334,454,8
1173,TR479,History of Art and Architecture/Philosophy,499,485,555,8
1174,TR547,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",337,337,473,8
1175,TR548,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",335,335,543,8
1176,TR554,"Middle Eastern,Jewish and Islamic Civilisations/History",529,529,555,8
1177,TR563,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",335,335,451,8
1178,TR564,"Middle Eastern,Jewish and Islamic Civilisations/Music",,,,8
1179,TR565,"Middle Eastern,Jewish and Islamic Civilisations/Religion",342,342,,8
1180,TR597,Mathematics/Modern Language,566,566,625,8
1181,TR598,Mathematics/Music,566,566,,8
1182,TR599,Mathematics/Philosophy,566,566,589,8
1183,TR629,Music/Philosophy,499,499,,8
1184,TR635,Music/Drama Studies,#473,#473,487,8
1185,TR636,Music/Modern Language,388,388,455,8
1186,TR638,Music/Religion,388,388,440,8
1187,TR639,Philosophy/Modern Language,499,499,613,8
1188,TR662,Philosophy/Sociology,499,499,531,8
1189,TR663,Religion/Classical Civilisation,342,342,591,8
1190,TR664,Religion/English Literature,498,498,565,8
1191,TR665,Religion/History of Art and Architecture,342,342,452,8
1192,TR666,Religion/Modern Language,,,,8
1193,TR667,French/Modern Language,403,403,478,8
1194,TR668,German/Modern Language,389,389,465,8
1195,TR669,Irish/Modern Language,368,368,473,8
1196,TR670,Italian/Modern Language,381,381,466,8
1197,TR671,Russian/Modern Language,332,332,494,8
1198,TR672,Spanish/Modern Language,336,336,488,8
1199,TR755,Sociology/Drama Studies,#498,#498,543,8
1200,TR756,Sociology/Modern Language,498,495,510,8
1201,TR801,Dental Nursing,436,367,455,7
1202,TR802,Dental Hygiene,#543,#498,532,7
1203,TR803,Dental Technology,#531,#359,456,7
1204,TR911,Children`s and General Nursing (Integrated),511,499,521,8
1205,TR913,Midwifery,478,473,508,8
1206,TU601,Electronic Engineering,232,230,326,6
1207,TU602,Computer Engineering,223,223,330,6
1208,TU603,Mechanical Engineering,197,197,299,6
1209,TU641,Bar and Restaurant Management,223,223,356,6
1210,TU642,Culinary Arts,153,153,244,6
1211,TU643,Culinary Arts (Professional Cookery Practice),236,236,383,6
1212,TU644,Food Management and Entrepreneurship,223,223,456,6
1213,TU645,Food Science and Management,241,243,390,6
1214,TU651,Applied Biology,205,196,359,6
1215,TU652,Computing,194,194,265,6
1216,TU653,Computing (Information Technology),245,245,357,6
1217,TU654,Pharmacy Technician Studies,321,321,420,6
1218,TU655,Computing (Networking Technologies) Learn and Work,410,335,459,6
1219,TU671,Business,226,228,403,6
1220,TU672,Business (Common entry),180,179,274,6
1221,TU673,Business Management,300,300,451,6
1222,TU674,Business Studies,300,306,451,6
1223,TU675,Marketing,301,301,412,6
1224,TU676,Retail Management and Marketing,290,290,377,6
1225,TU701,Automation Engineering,260,261,368,7
1226,TU702,Biomedical Design,232,232,351,7
1227,TU703,Building Engineering,260,260,359,7
1228,TU704,Civil Engineering,262,262,361,7
1229,TU705,Electrical and Control Engineering,243,243,339,7
1230,TU706,Electrical Services Engineering,244,244,307,7
1231,TU707,Electronic Engineering,224,224,361,7
1232,TU708,Engineering (Common Entry with Award options),225,225,360,7
1233,TU709,Engineering (General Entry),370,370,487,7
1234,TU710,Engineering Reliability Management,244,244,305,7
1235,TU711,Mechatronic Engineering,223,223,372,7
1236,TU712,Sustainable Energy and Environmental Engineering,180,180,332,7
1237,TU713,Computer Engineering,221,221,322,7
1238,TU714,Electronics and Communications Engineering,264,264,392,7
1239,TU715,Engineering Software,181,181,391,7
1240,TU716,Networking Technology,241,241,386,7
1241,TU717,Mechanical Engineering,300,300,367,7
1242,TU718,Mechanical Engineering,198,198,338,7
1243,TU719,"Design,Technology and Innovation",228,228,363,7
1244,TU720,Automotive Management and Technology,232,232,338,7
1245,TU721,Aviation Technology,350,352,434,7
1246,TU722,Process Instrumentation and Automation Learn and Work,292,401,499,7
1247,TU731,"Auctioneering, Valuation and Estate Agency",290,290,372,7
1248,TU732,Timber Product Technology,253,198,372,7
1249,TU735,Sports Management and Coaching,270,270,347,7
1250,TU736,Sports Science and Health,410,391,455,7
1251,TU741,Baking and Pastry Arts Management,234,238,412,7
1252,TU742,Culinary Arts,155,155,319,7
1253,TU745,Hospitality Management,245,245,357,7
1254,TU746,International Hospitality and Tourism Management,170,170,313,7
1255,TU747,Tourism Management,242,242,369,7
1256,TU751,Biosciences,407,407,509,7
1257,TU752,DNA and Forensic Analysis,390,390,465,7
1258,TU754,Industrial and Environmental Physics,270,270,487,7
1259,TU755,Science (General Entry),361,361,498,7
1260,TU756,Computing,200,195,357,7
1261,TU757,Computing (Information Technology),225,225,352,7
1262,TU758,Digital Forensics and Cyber Security,220,220,337,7
1263,TU759,Information Technology Management,211,211,330,7
1264,TU760,Bioanalysis,204,204,327,7
1265,TU761,Ophthalmic Dispensing,302,319,434,7
1266,TU762,Medicinal Chemistry and Pharmaceutical Sciences,364,364,510,7
1267,TU763,Pharmaceutical Science,382,349,429,7
1268,TU771,Business,224,224,392,7
1269,TU772,Business (Common Entry with Award options),AQA,AQA,317,7
1270,TU774,Management,195,195,327,7
1271,TU775,Accounting and Finance,260,260,465,7
1272,TU776,Accounting and Finance,182,175,337,7
1273,TU777,Business and Information Technology,244,244,352,7
1274,TU778,International Business,224,226,423,7
1275,TU779,International Business,180,180,368,7
1276,TU780,Advertising and Marketing Communications,179,179,366,7
1277,TU781,Digital Marketing,220,220,326,7
1278,TU782,Digital Marketing,179,179,287,7
1279,TU783,Marketing,189,189,360,7
1280,TU791,Applied Social Studies in Social Care,320,320,378,7
1281,TU792,Community and Youth Development,101,101,288,7
1282,TU793,Early Childhood Care and Education,220,220,386,7
1283,TU794,Early Childhood Care and Education,390,230,376,7
1284,TU795,Visual Merchandising and Display,481,481,763,7
1285,TU796,Creative Digital Media,225,225,383,7
1286,TU801,Biomedical Design,235,235,381,8
1287,TU802,Electrical Services and Energy Management,317,300,352,8
1288,TU803,Electronic Engineering,243,243,337,8
1289,TU804,Engineering (Common Entry with Award options),271,271,338,8
1290,TU805,Engineering (General Entry),402,402,466,8
1291,TU806,Sustainable Energy Engineering,262,262,318,8
1292,TU807,Computer Engineering in Mobile Systems,276,276,305,8
1293,TU808,Engineering Software,260,260,339,8
1294,TU809,Mechanical Engineering,235,235,347,8
1295,TU810,Mechatronic Engineering,270,271,312,8
1296,TU811,Product Design,411,411,444,8
1297,TU812,"Design,Technology and Innovation",270,270,350,8
1298,TU813,Automation Engineering,218,218,339,8
1299,TU814,Transport Operations and Technology,285,251,372,8
1300,TU831,Architectural Technology,410,410,444,8
1301,TU832,Architecture (Suitability Test and Interview),622,622,658,8
1302,TU833,Construction Management,367,367,404,8
1303,TU834,Geographic Science,288,288,357,8
1304,TU835,Planning and Environmental Management,313,313,349,8
1305,TU836,Property Economics (Valuation Surveying),401,401,433,8
1306,TU837,Quantity Surveying and Construction Economics,385,385,418,8
1307,TU851,Analytical Chemistry (Environmental Forensic and Pharmaceutical),349,349,419,8
1308,TU852,Chemical Sciences with Medicinal Chemistry,476,476,498,8
1309,TU854,Science (General Entry),476,476,495,8
1310,TU855,Science with Nanotechnology,331,319,368,8
1311,TU856,Computer Science,476,476,487,8
1312,TU857,Computer Science (Infrastructure),391,391,419,8
1313,TU858,Computer Science (International),377,377,424,8
1314,TU859,Computing,217,217,308,8
1315,TU860,Computing (Information Technology),260,260,329,8
1316,TU861,Computing with Language (French/German/Spanish),308,308,348,8
1317,TU862,Computing with Data Analytics,226,226,288,8
1318,TU863,Digital Forensics and Cyber Security,280,280,338,8
1319,TU864,DNA and Forensic Analysis,400,390,429,8
1320,TU865,Computing with IT Management,226,226,331,8
1321,TU866,Biomedical and Molecular Diagnostics,487,487,498,8
1322,TU867,Biomedical Science,524,524,542,8
1323,TU868,Clinical Measurement Science,510,510,520,8
1324,TU869,Environmental Health,336,336,375,8
1325,TU870,Human Nutrition and Dietetics,578,578,589,8
1326,TU871,Optometry,509,509,530,8
1327,TU872,Public Health Nutrition,491,491,512,8
1328,TU873,Industrial Mathematics,250,250,392,8
1329,TU874,Mathematical Sciences,341,343,407,8
1330,TU875,Pharmaceutical Healthcare,400,400,440,8
1331,TU876,Pharmaceutical Science,377,349,391,8
1332,TU877,Physics Technology,308,308,373,8
1333,TU878,Physics with Energy and Environment,337,331,444,8
1334,TU879,Physics with Medical Physics and Bioengineering,351,351,403,8
1335,TU880,Physics with Data Science,578,,,8
1336,TU881,Food Innovation,318,318,389,8
1337,TU882,Nutraceuticals in Health and Nutrition,397,397,442,8
1338,TU901,Business,270,270,307,8
1339,TU902,Business (Common Entry with Award options),271,271,359,8
1340,TU903,Business and Management,463,463,485,8
1341,TU904,Business and Law,462,462,487,8
1342,TU905,Economics and Finance,465,465,488,8
1343,TU906,Human Resource Management,395,395,414,8
1344,TU907,Logistics and Supply Chain Management,300,300,387,8
1345,TU908,Management,262,253,337,8
1346,TU909,Accounting and Finance,285,285,326,8
1347,TU910,Accounting and Finance,444,444,466,8
1348,TU911,Accounting and Finance,209,192,319,8
1349,TU912,Business Analytics,330,330,366,8
1350,TU913,Business and Information Technology,252,252,299,8
1351,TU914,Business Computing,324,324,366,8
1352,TU915,International Business,252,252,302,8
1353,TU916,International Business,235,235,337,8
1354,TU917,Law (LLB ) with a Language,342,342,433,8
1355,TU918,Law (LLB),451,451,478,8
1356,TU919,Advertising and Marketing Communications,228,226,311,8
1357,TU920,Digital Marketing,270,270,318,8
1358,TU921,Digital Marketing Technologies,212,234,300,8
1359,TU922,Marketing,418,418,443,8
1360,TU923,Marketing Management,228,228,318,8
1361,TU924,E-Commerce in Retailing,307,307,380,8
1362,TU925,Retail and Services Management,301,301,362,8
1363,TU935,Sports Management and Coaching,300,300,347,8
1364,TU936,Sports Science and Health,410,391,419,8
1365,TU941,Botanical Cuisine,249,249,257,8
1366,TU942,Culinary Arts,212,212,340,8
1367,TU943,Culinary Entrepreneurship,278,279,357,8
1368,TU944,Culinary Science,316,316,379,8
1369,TU951,International Hospitality and Tourism Management,184,200,298,8
1370,TU952,International Hospitality Management,300,306,368,8
1371,TU953,Tourism and Digital Marketing,290,290,359,8
1372,TU954,Event Management,356,356,404,8
1373,TU955,Sports & Leisure Management,217,217,347,8
1374,TU961,Commercial Modern Music,608,608,848,8
1375,TU962,Drama (Performance),379,379,500,8
1376,TU963,Music,416,416,535,8
1377,TU965,International Business and Languages,356,346,413,8
1378,TU966,Languages and English Studies,366,434,466,8
1379,TU967,Languages and International Tourism,308,326,388,8
1380,TU971,Contemporary Visual Culture,290,290,320,8
1381,TU972,Creative and Cultural Industries,281,281,369,8
1382,TU973,Design - Visual Communication,717,717,865,8
1383,TU974,Fine Art,709,563,826,8
1384,TU975,Interior Design,632,632,879,8
1385,TU976,Photography,695,695,926,8
1386,TU981,Creative Digital Media,280,282,318,8
1387,TU982,Creative Digital Media,320,311,352,8
1388,TU983,Film and Broadcasting,456,451,484,8
1389,TU984,Game Design,381,381,419,8
1390,TU985,Journalism,322,322,377,8
1391,TU986,Print Media Technology and Management,289,289,300,8
1392,TU991,Applied Social Studies in Social Care,325,325,352,8
1393,TU992,Community and Youth Development,251,253,297,8
1394,TU993,Early Childhood Care and Education,270,270,311,8
1395,TU994,Early Childhood Care and Education,321,230,304,8
1396,TU995,Early Childhood Education,367,367,409,8
1397,TU996,Social Care,400,400,419,8
1398,TU997,Applied Social Care,310,270,318,8
1399,WD001,Applied Computing (options),260,260,413,8
1400,WD002,Science (options),308,308,388,8
1401,WD003,Business,AQA,AQA,372,6
1402,WD005,Health Sciences (options),280,280,338,8
1403,WD006,Exercise Sciences (options),280,280,359,8
1404,WD007,Engineering (options),288,288,409,8
1405,WD010,Electronic Engineering,181,181,318,6
1406,WD011,Mechanical Engineering,198,198,341,6
1407,WD013,Legal Studies,177,177,367,6
1408,WD018,Applied Social Care,171,171,293,7
1409,WD019,Recreation and Sport Management,174,174,309,7
1410,WD025,Construction Management and Engineering,269,269,341,8
1411,WD027,Music,262,262,409,8
1412,WD048,Business (options),271,271,371,8
1413,WD076,Forestry,243,243,326,7
1414,WD084,Accounting,308,308,411,8
1415,WD091,Hospitality Management,228,228,310,8
1416,WD094,Architectural Technology,166,150,351,7
1417,WD096,Horticulture (Waterford - Kildalton),260,260,389,7
1418,WD097,Horticulture (Dublin - National Botanic Gardens),AQA,AQA,408,7
1419,WD116,General Nursing,422,422,451,8
1420,WD117,Psychiatric Nursing,366,366,388,8
1421,WD120,Intellectual Disability Nursing,377,377,388,8
1422,WD126,Agriculture,327,327,430,7
1423,WD134,International Business,290,290,362,8
1424,WD137,Design (Visual Communications),271,271,351,8
1425,WD139,Civil Engineering,206,206,379,7
1426,WD140,Laws,280,280,367,8
1427,WD144,Architecture,284,284,359,8
1428,WD147,Pharmaceutical Science,293,293,390,8
1429,WD149,Early Childhood Studies,271,271,368,8
1430,WD150,Criminal Justice Studies,270,270,331,8
1431,WD151,Software Systems Development,AQA,AQA,356,7
1432,WD152,Visual Art,AQA,AQA,317,8
1433,WD153,Multimedia Applications Development,163,163,353,7
1434,WD155,Information Technology,211,211,338,7
1435,WD159,Business,195,195,388,7
1436,WD161,Computer Forensics and Security,255,255,380,8
1437,WD162,Quantity Surveying,216,216,306,8
1438,WD163,Psychology,434,434,473,8
1439,WD164,Food Science with Business,309,309,440,7
1440,WD172,Culinary Arts,AQA,AQA,301,6
1441,WD173,Hospitality Studies,AQA,AQA,310,6
1442,WD174,Tourism,AQA,AQA,226,6
1443,WD175,Pharmaceutical Science,226,226,392,7
1444,WD177,"Science (Mol. Biology with Biopharm.,Food Science with Business,Pharm.)",222,222,473,7
1445,WD182,Electrical Engineering,AQA,AQA,302,7
1446,WD184,Retail Management,163,163,346,7
1447,WD186,Sports Coaching and Performance,270,270,344,8
1448,WD187,Social Science,272,272,348,8
1449,WD188,Applied Health Care,201,201,349,7
1450,WD191,Agricultural Science,377,377,420,8
1451,WD192,Social Care Practice,270,270,326,8
1452,WD193,Marketing and Digital Media,271,271,347,8
1453,WD194,Culinary Arts,217,217,321,8
1454,WD195,Architectural and Building Information Modelling Technology,279,279,367,8
1455,WD200,Arts (options),AQA,AQA,336,8
1456,WD205,Molecular Biology with Biopharmaceutical Science,228,228,446,7
1457,WD206,Electronic Engineering,179,179,373,7
1458,WD207,Mechanical Engineering,198,198,365,7
